Customer_ID,Customer_Name,Gender,Phone,City
C056,Nandini Pawar,Female,9945314737,Udupi
C057,Neha Sharma,Female,9752735454,Udupi
C058,Aditya Naik,Male,9678377701,Belagavi
C059,Ritvik Das,Male,9349578856,Davanagere
C060,Divya Das,Female,9744431351,Davanagere
C061,Rahul Shetty,Male,9749894134,Mangaluru
C062,Nisha Kulkarni,Female,9082400842,Ballari
C063,Ravi Sharma,Male,9947775204,Ballari
C064,Sachin Gupta,Male,9671902294,Mysuru
C065,Arjun Bhat,Male,9699938677,Belagavi
C066,Riya Desai,Female,9909133412,Mangaluru
C067,Varun Gupta,Male,9206797403,Belagavi
C068,Pallavi Singh,Female,9134936183,Hubballi
C069,Simran Reddy,Female,9102499471,Ballari
C070,Pallavi Joshi,Female,9488771906,Shivamogga
C071,Priya Gupta,Female,9399049027,Davanagere
C072,Abhishek Mehta,Male,9717565512,Shivamogga
C073,Pallavi Yadav,Female,9468071545,Mysuru
C074,Madhuri Jain,Female,9087603859,Ballari
C075,Preethi Patel,Female,9348247710,Udupi
C076,Ramesh Gowda,Male,9480861317,Mysuru
C077,Pranav Das,Male,9484677378,Hubballi
C078,Kavya Mishra,Female,9821465840,Belagavi
C079,Simran Desai,Female,9972787558,Davanagere
C080,Ishita Iyer,Female,9339636057,Tumakuru
C081,Keerthi Kumar,Female,9270289517,Mysuru
C082,Priya Pawar,Female,9262174596,Mysuru
C083,Madhuri Chauhan,Female,9865780913,Belagavi
C084,Suresh Gupta,Male,9611724005,Bengaluru
C085,Divya Nair,Female,9623869222,Mysuru
C086,Lakshmi Chauhan,Female,9379237474,Bengaluru
C087,Vaishnavi Kulkarni,Female,9821759464,Ballari
C088,Kavya Joshi,Female,9713695944,Bengaluru
C089,Megha Sharma,Female,9909743953,Mangaluru
C090,Keerthi Soni,Female,9210470952,Mysuru
C091,Neha Pawar,Female,9623285884,Hubballi
C092,Rashmi Yadav,Female,9451712368,Shivamogga
C093,Deepak Joshi,Male,9048175496,Shivamogga
C094,Priya Mishra,Female,9859317461,Hubballi
C095,Pooja Verma,Female,9382675869,Hubballi
C096,Sanjana Verma,Female,9796405377,Mangaluru
C097,Pooja Chauhan,Female,9585064317,Mysuru
C098,Manjunath Kumar,Male,9900532931,Davanagere
C099,Harsh Soni,Male,9290422842,Mysuru
C100,Rohan Sharma,Male,9539502402,Tumakuru
C101,Ishita Soni,Female,9589178390,Davanagere
C102,Ishita Kumar,Female,9007661771,Mysuru
C103,Lakshmi Reddy,Female,9124998569,Davanagere
C104,Ishita Jain,Female,9961183673,Tumakuru
C105,Simran Singh,Female,9661565452,Ballari
C106,Aditya Gupta,Male,9161528098,Davanagere
C107,Keerthi Verma,Female,9656049451,Udupi
C108,Rohan Chauhan,Male,9731585149,Mangaluru
C109,Madhuri Bhat,Female,9998094024,Belagavi
C110,Divya Sharma,Female,9229612018,Mangaluru
C111,Nandini Singh,Female,9525459910,Hubballi
C112,Vijay Mishra,Male,9014767976,Belagavi
C113,Vijay Jain,Male,9156149784,Bengaluru
C114,Ritvik Mishra,Male,9003432445,Mysuru
C115,Pranav Pawar,Male,9622683885,Mysuru
C116,Madhuri Pawar,Female,9060715969,Tumakuru
C117,Riya Verma,Female,9605297516,Mysuru
C118,Asha Gupta,Female,9645352181,Davanagere
C119,Divya Pawar,Female,9231243292,Mysuru
C120,Vijay Kumar,Male,9779979955,Hubballi
C121,Sneha Yadav,Female,9744905814,Ballari
C122,Simran Kulkarni,Female,9119986798,Bengaluru
C123,Rashmi Desai,Female,9359782071,Shivamogga
C124,Aniket Kumar,Male,9203778892,Shivamogga
C125,Rashmi Kulkarni,Female,9665905151,Davanagere
C126,Riya Rao,Female,9925192546,Hubballi
C127,Manoj Bhat,Male,9652816850,Shivamogga
C128,Nisha Shetty,Female,9573322141,Davanagere
C129,Shrey Joshi,Male,9222927065,Mangaluru
C130,Lakshmi Kulkarni,Female,9738347359,Ballari
C131,Preethi Kulkarni,Female,9688623924,Bengaluru
C132,Madhuri Nair,Female,9818141247,Davanagere
C133,Sachin Mehta,Male,9137506068,Shivamogga
C134,Ritvik Gupta,Male,9530515220,Belagavi
C135,Pallavi Reddy,Female,9779010432,Davanagere
C136,Pooja Soni,Female,9434103697,Mysuru
C137,Sachin Yadav,Male,9980893246,Bengaluru
C138,Shruti Desai,Female,9621851888,Davanagere
C139,Ritvik Yadav,Male,9065405153,Mysuru
C140,Aditi Patel,Female,9585277221,Ballari
C141,Manoj Shetty,Male,9030548687,Belagavi
C142,Manoj Nair,Male,9054156676,Shivamogga
C143,Divya Jain,Female,9416169284,Shivamogga
C144,Aditya Iyer,Male,9447962757,Bengaluru
C145,Lakshmi Mehta,Female,9401658202,Udupi
C146,Ananya Reddy,Female,9135569092,Ballari
C147,Divya Singh,Female,9192856543,Mysuru
C148,Suresh Gowda,Male,9786814473,Udupi
C149,Arjun Reddy,Male,9172715518,Davanagere
C150,Ramesh Das,Male,9258313237,Bengaluru
C151,Deepa Desai,Female,9578291146,Ballari
C152,Preethi Mehta,Female,9912517785,Hubballi
C153,Vijay Reddy,Male,9680182422,Shivamogga
C154,Yash Jain,Male,9414384249,Davanagere
C155,Abhishek Desai,Male,9229959001,Bengaluru
C156,Sanjana Shetty,Female,9969078447,Mangaluru
C157,Riya Singh,Female,9102767735,Udupi
C158,Harsh Das,Male,9556258815,Mangaluru
C159,Pooja Rao,Female,9732104696,Mangaluru
C160,Sachin Iyer,Male,9953278774,Ballari
C161,Aditya Joshi,Male,9873395004,Ballari
C162,Riya Bhat,Female,9016245650,Tumakuru
C163,Abhishek Bhat,Male,9358416878,Belagavi
C164,Rohan Verma,Male,9655852398,Tumakuru
C165,Vivaan Patel,Male,9257872982,Shivamogga
C166,Nisha Joshi,Female,9949588879,Belagavi
C167,Simran Sharma,Female,9551694097,Belagavi
C168,Suresh Patel,Male,9972896230,Udupi
C169,Rahul Sharma,Male,9756263689,Ballari
C170,Ramesh Reddy,Male,9838578652,Ballari
C171,Deepa Nair,Female,9497334843,Belagavi
C172,Pallavi Shetty,Female,9757584419,Davanagere
C173,Vaishnavi Joshi,Female,9524041574,Ballari
C174,Rahul Bhat,Male,9484219933,Bengaluru
C175,Manjunath Naik,Male,9016571208,Hubballi
C176,Sanjana Yadav,Female,9734540193,Davanagere
C177,Tejas Gowda,Male,9620672400,Belagavi
C178,Tejas Iyer,Male,9478872874,Mangaluru
C179,Harsh Gowda,Male,9742054932,Udupi
C180,Simran Mehta,Female,9851612275,Mangaluru
C181,Nikhil Joshi,Male,9374549904,Shivamogga
C182,Vivaan Chauhan,Male,9174268414,Shivamogga
C183,Amit Reddy,Male,9727956878,Mangaluru
C184,Lokesh Soni,Male,9918785191,Bengaluru
C185,Karthik Iyer,Male,9871397187,Bengaluru
C186,Aditi Jain,Female,9679087406,Belagavi
C187,Suresh Shetty,Male,9910651801,Ballari
C188,Manoj Mehta,Male,9226567661,Davanagere
C189,Manjunath Nair,Male,9128682300,Belagavi
C190,Keerthi Pawar,Female,9868633752,Belagavi
C191,Tejas Pawar,Male,9106903311,Udupi
C192,Amit Pawar,Male,9067383028,Belagavi
C193,Sachin Pawar,Male,9959953428,Mangaluru
C194,Varun Desai,Male,9268705685,Tumakuru
C195,Aditi Kulkarni,Female,9628733427,Bengaluru
C196,Nandini Bhat,Female,9826343517,Shivamogga
C197,Varun Pawar,Male,9304699013,Udupi
C198,Pranav Shetty,Male,9540331739,Mangaluru
C199,Rashmi Naik,Female,9854678544,Shivamogga
C200,Ishita Verma,Female,9753556093,Hubballi
